match_id,season,team1,team2,venue,winner,player_of_match,toss_winner,toss_decision
1082591,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Yuvraj Singh,Royal Challengers Bangalore,field
1082592,2017,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,SPD Smith,Rising Pune Supergiant,field
1082593,2017,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,CA Lynn,Kolkata Knight Riders,field
1082594,2017,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Kings XI Punjab,GJ Maxwell,Kings XI Punjab,field
1082595,2017,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,KM Jadhav,Royal Challengers Bangalore,bat
1082596,2017,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,field
1082597,2017,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,N Rana,Mumbai Indians,field
1082598,2017,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Kings XI Punjab,AR Patel,Royal Challengers Bangalore,bat
1082599,2017,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,SV Samson,Rising Pune Supergiant,field
1082600,2017,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,JJ Bumrah,Mumbai Indians,field
1082601,2017,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field
1082602,2017,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,KA Pollard,Mumbai Indians,field
1082603,2017,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Gujarat Lions,AJ Tye,Gujarat Lions,field
1082604,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,RV Uthappa,Sunrisers Hyderabad,field
1082605,2017,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,CJ Anderson,Delhi Daredevils,bat
1082606,2017,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai Indians,N Rana,Mumbai Indians,field
1082607,2017,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,Rising Pune Supergiant,BA Stokes,Royal Challengers Bangalore,field
1082608,2017,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,NM Coulter-Nile,Delhi Daredevils,bat
1082609,2017,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,B Kumar,Kings XI Punjab,field
1082610,2017,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,CH Gayle,Gujarat Lions,field
1082611,2017,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,bat
1082612,2017,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,JC Buttler,Mumbai Indians,field
1082613,2017,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Gujarat Lions,SK Raina,Gujarat Lions,field
1082614,2017,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,MJ McClenaghan,Delhi Daredevils,field
1082615,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,MS Dhoni,Rising Pune Supergiant,field
1082616,2017,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Kings XI Punjab,HM Amla,Gujarat Lions,field
1082617,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,NM Coulter-Nile,Royal Challengers Bangalore,field
1082618,2017,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant,BA Stokes,Mumbai Indians,field
1082620,2017,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,RV Uthappa,Kolkata Knight Riders,field
1082621,2017,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,AJ Tye,Gujarat Lions,field
1082622,2017,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,field
1082623,2017,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Rashid Khan,Kings XI Punjab,field
1082624,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,LH Ferguson,Royal Challengers Bangalore,field
1082625,2017,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,,KH Pandya,Gujarat Lions,bat
1082626,2017,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,field
1082627,2017,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,DA Warner,Kolkata Knight Riders,field
1082628,2017,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,RG Sharma,Royal Challengers Bangalore,bat
1082629,2017,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,BA Stokes,Rising Pune Supergiant,field
1082630,2017,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,Mohammed Shami,Delhi Daredevils,field
1082631,2017,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Rising Pune Supergiant,RA Tripathi,Rising Pune Supergiant,field
1082632,2017,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils,RR Pant,Delhi Daredevils,field
1082633,2017,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Sandeep Sharma,Royal Challengers Bangalore,field
1082634,2017,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,JD Unadkat,Sunrisers Hyderabad,field
1082635,2017,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,LMP Simmons,Delhi Daredevils,field
1082636,2017,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field
1082637,2017,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,DR Smith,Gujarat Lions,field
1082638,2017,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,S Dhawan,Mumbai Indians,bat
1082639,2017,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,MM Sharma,Kolkata Knight Riders,field
1082640,2017,Gujarat Lions,Delhi Daredevils,Green Park,Delhi Daredevils,SS Iyer,Delhi Daredevils,field
1082641,2017,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,WP Saha,Mumbai Indians,field
1082642,2017,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,Delhi Daredevils,KK Nair,Delhi Daredevils,bat
1082643,2017,Gujarat Lions,Sunrisers Hyderabad,Green Park,Sunrisers Hyderabad,Mohammed Siraj,Sunrisers Hyderabad,field
1082644,2017,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,AT Rayudu,Kolkata Knight Riders,field
1082645,2017,Rising Pune Supergiant,Kings XI Punjab,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,JD Unadkat,Rising Pune Supergiant,field
1082646,2017,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,HV Patel,Royal Challengers Bangalore,bat
1082647,2017,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant,Washington Sundar,Mumbai Indians,field
1082648,2017,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,NM Coulter-Nile,Kolkata Knight Riders,field
1082649,2017,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,Mumbai Indians,KV Sharma,Mumbai Indians,field
1082650,2017,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,KH Pandya,Mumbai Indians,bat
1136561,2018,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,DJ Bravo,Chennai Super Kings,field
1136562,2018,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,KL Rahul,Kings XI Punjab,field
1136563,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field
1136564,2018,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,S Dhawan,Sunrisers Hyderabad,field
